container_index,schema,Table Name,Table Description,,Elaborated Table Description,Column #,prefix,Field,Field Description,report,category,Data Type,Length,Decimals,Nullable,Edit Type,Elaborated Field Description
1,920,F0000194,Generic Interface Table for B0000194,,"A lightweight EDI (Electronic Data Interchange) staging/interface table used to pass transaction data between JDE and external systems. Stores EDI identifiers including User ID, Batch Number, Transaction Number, Line Number, and a flag indicating whether the transaction was successfully processed.",1,SY,SYEDUS,EDI - User ID,General Accounting,Business Data,String,10,0,Y,Generic Edit,Stores the JDE User ID of the person or system that initiated the EDI transaction. Used to track accountability and trace which user submitted the incoming/outgoing EDI data.
1,920,F0000194,Generic Interface Table for B0000194,,"A lightweight EDI (Electronic Data Interchange) staging/interface table used to pass transaction data between JDE and external systems. Stores EDI identifiers including User ID, Batch Number, Transaction Number, Line Number, and a flag indicating whether the transaction was successfully processed.",2,SY,SYEDBT,EDI - Batch Number,General Accounting,Business Data,String,15,0,Y,Generic Edit,"Identifies the EDI Batch Number that groups a set of related EDI transactions together. Helps in processing, reconciling, and auditing EDI messages as a single logical unit."
1,920,F0000194,Generic Interface Table for B0000194,,"A lightweight EDI (Electronic Data Interchange) staging/interface table used to pass transaction data between JDE and external systems. Stores EDI identifiers including User ID, Batch Number, Transaction Number, Line Number, and a flag indicating whether the transaction was successfully processed.",3,SY,SYEDTN,EDI - Transaction Number,General Accounting,Business Data,String,22,0,Y,Generic Edit,The unique EDI Transaction Number assigned to each individual EDI message or document exchange. Used to uniquely identify and reference a specific transaction within a batch.
1,920,F0000194,Generic Interface Table for B0000194,,"A lightweight EDI (Electronic Data Interchange) staging/interface table used to pass transaction data between JDE and external systems. Stores EDI identifiers including User ID, Batch Number, Transaction Number, Line Number, and a flag indicating whether the transaction was successfully processed.",4,SY,SYEDLN,EDI - Line Number,General Accounting,Business Data,Numeric,7,3,Y,Generic Edit,"The sequential line number within an EDI transaction, identifying the position of a specific record or detail line. Used when a single transaction contains multiple line items."
1,920,F0000194,Generic Interface Table for B0000194,,"A lightweight EDI (Electronic Data Interchange) staging/interface table used to pass transaction data between JDE and external systems. Stores EDI identifiers including User ID, Batch Number, Transaction Number, Line Number, and a flag indicating whether the transaction was successfully processed.",5,SY,SYEDSP,EDI - Successfully Processed,General Accounting,Business Data,Character,1,0,Y,Generic Edit,A single-character flag (Y/N) indicating whether the EDI transaction has been successfully processed and consumed by JDE. Records marked 'Y' have been handled; 'N' records are pending or failed.
1,920,F0002,Next Numbers - Automatic,,"Controls automatic sequential number generation for JDE documents (invoices, orders, vouchers, etc.) per system/product code. Stores up to 10 use descriptions, 10 next number ranges, and 10 check digit flags per product code. Check digits help detect data entry errors in document numbers.",1,NN,NNSY,Product Code,General Accounting,Control Tables,String,4,0,Y,UDC (98 SY),"The JDE System/Product Code (e.g., '00', '01', '03') that owns this next number sequence. Each JDE module has its own product code, ensuring number sequences are isolated per system."
1,920,F0002,Next Numbers - Automatic,,"Controls automatic sequential number generation for JDE documents (invoices, orders, vouchers, etc.) per system/product code. Stores up to 10 use descriptions, 10 next number ranges, and 10 check digit flags per product code. Check digits help detect data entry errors in document numbers.",2,NN,NNUD01,Use Description 01,General Accounting,Control Tables,String,15,0,Y,Generic Edit,A user-defined label describing what the first next number sequence (NNN001) is used for in this product code. Helps administrators understand the purpose of each numbering slot.
1,920,F0002,Next Numbers - Automatic,,"Controls automatic sequential number generation for JDE documents (invoices, orders, vouchers, etc.) per system/product code. Stores up to 10 use descriptions, 10 next number ranges, and 10 check digit flags per product code. Check digits help detect data entry errors in document numbers.",3,NN,NNUD02,Use Description 02,General Accounting,Control Tables,String,15,0,Y,Generic Edit,A user-defined label describing the second next number slot (NNN002) for this product code. Provides a human-readable name for the second sequential numbering series.
1,920,F0002,Next Numbers - Automatic,,"Controls automatic sequential number generation for JDE documents (invoices, orders, vouchers, etc.) per system/product code. Stores up to 10 use descriptions, 10 next number ranges, and 10 check digit flags per product code. Check digits help detect data entry errors in document numbers.",4,NN,NNUD03,Use Description 03,General Accounting,Control Tables,String,15,0,Y,Generic Edit,A user-defined label describing the third next number slot (NNN003) for this product code.
1,920,F0002,Next Numbers - Automatic,,"Controls automatic sequential number generation for JDE documents (invoices, orders, vouchers, etc.) per system/product code. Stores up to 10 use descriptions, 10 next number ranges, and 10 check digit flags per product code. Check digits help detect data entry errors in document numbers.",5,NN,NNUD04,Use Description 04,General Accounting,Control Tables,String,15,0,Y,Generic Edit,A user-defined label describing the fourth next number slot (NNN004) for this product code.
